BlockquoteClose
BlockquoteOpen
BulletListClose
BulletListOpen
CodeBlock
CodeInline
EmphasisClose
EmphasisOpen
Fence
HTMLBlock
HTMLInline
Hardbreak
HeadingClose
HeadingOpen
Hr
Image
Inline
LinkClose
LinkOpen
ListItemClose
ListItemOpen
OrderedListClose
OrderedListOpen
ParagraphClose
ParagraphOpen
Softbreak
StrikethroughClose
StrikethroughOpen
StrongClose
StrongOpen
TableClose
TableOpen
TbodyClose
TbodyOpen
TdClose
TdOpen
Text
ThClose
ThOpen
TheadClose
TheadOpen
TrClose
TrOpen
